"ID","CAMP_NAME","AVG_RATING","REVIEWS","PREDICT"
401,"가래골농원 캠핑장",0,"토 토요 번째 방문인증 수단영수증 리뷰 사진 팔로우 가성비는 떨어지지만 시설은 좋인요 바비큐 해먹기 좋아요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 반응 남기기 방문 ",1
402,"가래골농원 캠핑장",0,"토 토요 번째 방문인증 수단영수증 편수학교습소 리뷰 사진 팔로우 너무 좋아요 깨끗해요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 명 방문 ",1
403,"가래골농원 캠핑장",0," 요 번째 방문인증 수단영수증",0
404,"가로림글램핑",0," 회 명 참여 친절해요 이 키워드를 선택한 인원 깨끗해요 이 키워드를 선택한 인원 조용히 쉬기 좋아요 이 키워드를 선택한 인원 뷰가 좋아요 이 키워드를 선택한 인원 침구가 좋아요 이 키워드를 선택한 인원 더보기 만족도 서비스 메인시설 청결도 부대 공용시설 수영장 전망 분위기 가격 위치 비품 예약 음식 조식 추천순최신순 정렬 안내 리뷰 클렌징 시스템 작동 중입니다",0
405,"가로림글램핑",0," 우주인 리뷰 사진 팔로우 목적 가족모임동행 아이 부모님 가로림글램핑 선택은 신의한수였어요",0
406,"가로림글램핑",0," 아침에 산책중 발견한 선물 갯벌체험할 수 있도록 놓여진 장화와 도구들",1
407,"가로림글램핑",0," 사장님의 배려가 엿보였어요",1
408,"가로림글램핑",0," 놀러와서 피자생각은 못했는데 없는거 빼고 다 있는 매점에서 구입한 피자도 정말 꿀맛이었어요 사장님 인심이 얼마나 좋으신지 주신 수건도 다 못쓰고 나왔어요",1
409,"가로림글램핑",0," 여행중 이불부터 이렇게 깨끗하고 편안한 숙소는 처음이네요",1
410,"가로림글램핑",0," 주차도 편하고 관리가 참 잘된곳이었어요",1
411,"가로림글램핑",0," 프로 만점에 프로 만족이라 저 희 가족 고정숙소하기로 하였습니다 다음 방문때는 글램핑도 가봐야겠어요",1
412,"가로림글램핑",0," 정말 정말 잘쉬다왔어요",1
413,"가로림글램핑",0," 사장님 건강하시고 또 뵙겠습니다",1
414,"가로림글램핑",0," 깨끗해요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 반응 남기기 방문 ",1
415,"가로림글램핑",0," 요 번째 방문인증 수단영수증 정예지 리뷰 사진 팔로우 객실명 글램핑 호 객실 오션뷰 이용 방법 예약 후목적 데이트 여행동행 연인 배우자 서해 몰 보고 싶어서 가로림글랭핑 에 방문하게 되었어요 가는 길부터 푸릇푸릇 예쁘고 갯벌 체험도 가능한데다 예쁜 몰도 볼 수 있어서 정말 만족스러웠습니다",1
416,"가로림글램핑",0," 숙소 바로 옆쪽에 주차할 수 있게 되어 있어서 짐 옮기기도 편했고 바베큐 해먹기도 딱 좋은 환경이었습니다",1
417,"가로림글램핑",0," 글램핑 숙소는 분리형 원룸처럼 바깥쪽에 주방 큰 나무식탁이 있고 안쪽에 침대와 욕실이 있는 구조였는데 이게 정말 편하더라고요 주방에서 뭐 해 먹을 생각하고 간 거여서 가자마자 냉장고랑 찬장 먼저 열어봤는데 정말 깔끔해서 놀랐어요 방문한 후 분실물이 생겼는데 사장님이 정말 끝까지 챙겨주셔서 무사히 찾을 수 있었습니다",1
418,"가로림글램핑",0," 정말 감사드려요",1
419,"가로림글램핑",0," 시설 주변 환경 등 모든 게 완벽했지만 더 완벽한 건 사장님의 서비스였습니다",1
420,"가로림글램핑",0," 재방문 예정 화장실이 잘 되어있어요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 반응 남기기 방문 ",1
421,"가로림글램핑",0,"토 토요 번째 방문인증 수단예약 리뷰 사진 팔로워 팔로우 객실명 풀빌라 호 오션뷰 목적 여행동행 지인 동료 오션뷰 풀빌라 펜션이라 당연히 바다뷰이고 평수가 큰 편입니다 수영장은 아이들이 놀기 좋은 사이즈이고 요 에 가서 저렴한 가격으로 조용하게 잘 놀다왔습니다 서해라 물빠졌을땐 갯벌뷰이긴 하지만 노을뷰는 에뻐요 냉난방이 잘돼요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 반응 남기기 방문 ",1
422,"가로림글램핑",0," 요 번째 방문인증 수단예약 리뷰 사진 팔로우 동영상 썸네 목적 가족모임동행 친척 형제 가족끼리온 첫글램핑 방도 넘깨끗하고 시설도 좋아서 맛나게 바베큐해먹고 푹쉬면서 힐링 만땅하고 갑니다 다음날 조카랑 갯벌에서 완전 애처럼 놀면서 오랜만에 몸살은 낮지만 너무 행복한시간이었네요 특히 좋았던거 다른방손님들도 연인이나 가족위주여서 어디가면 항상 보이는 취객아저씨들도 없고 머리아프고 스트레스받은거 다날리고 왔어요 짬날때마다와서 조용히 푹쉬고가기 딱이네요 사장님도 넘 친절하게 해주시고 유쾌하셔서 더좋았어요 연인끼리와서 꽁냥꽁냥 노는거도 넘 이뿌더라고요 쵝오네요 가로림글랭핑 깨끗해요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 반응 남기기 방문 ",1
423,"가로림글램핑",0," 요 번째 방문인증 수단영수증 비올땐따땃아메한잔 리뷰 사진 팔로우 목적 여행동행 친구 아이 아이생 맞아 방문한 곳이었는데",0
424,"가로림글램핑",0," 정말 인생 펜션이었어요",1
425,"가로림글램핑",0," 뷰 너무좋고 무엇보다도 풀빌라를 이가격에 저렴한 가격에 별기대없이 방문했는데 이런 고퀄리티 펜션은 첨인것같아요",0
426,"가로림글램핑",0," 냄비나 식기류도 다녀본중 가장 잘돼있고 깨끗하고",1
