"C_NO","SITE_CONTENT","SITE","PET_YN"
3496,"글램핑시설(5면)",5,"N"
100387,"자동차야영장사이트(11면) 카라반(16면)",27,"N"
7670,"글램핑시설(10면)",10,"Y"
3510,"일반야영장(42면)",42,"N"
7780,"일반야영장(20면)",20,"Y"
3512,"",0,"N"
3511,"일반야영장(10면) 글램핑시설(6면) 카라반(2면)",18,"N"
3518,"자동차야영장사이트(100면)",100,"N"
8108,"카라반(2면)",2,"Y"
3520,"일반야영장(25면)",25,"N"
3521,"글램핑시설(15면)",15,"N"
7233,"일반야영장(20면) 자동차야영장사이트(20면)",40,"Y"
7095,"글램핑시설(10면)",10,"N"
3528,"일반야영장(25면)",25,"N"
3529,"카라반(9면)",9,"N"
100333,"글램핑시설(5면)",5,"Y"
100080,"일반야영장(8면)",8,"N"
7585,"카라반(10면)",10,"Y"
3539,"일반야영장(32면) 자동차야영장사이트(18면)",50,"N"
7873,"글램핑시설(4면)",4,"N"
7268,"",0,"N"
3541,"",0,"N"
3545,"자동차야영장사이트(72면)",72,"N"
7807,"자동차야영장사이트(10면)",10,"Y"
3546,"일반야영장(3면) 글램핑시설(10면)",13,"N"
7255,"",0,"N"
7096,"",0,"N"
100191,"글램핑시설(7면)",7,"Y"
3551,"일반야영장(39면)",39,"N"
7234,"일반야영장(23면)",23,"N"
7848,"자동차야영장사이트(100면)",100,"Y"
100459,"자동차야영장사이트(15면)",15,"N"
3556,"일반야영장(7면)",7,"N"
7751,"글램핑시설(12면)",12,"N"
3568,"일반야영장(14면)",14,"N"
100067,"일반야영장(13면)",13,"Y"
3569,"",0,"N"
7097,"일반야영장(30면)",30,"N"
3575,"자동차야영장사이트(80면)",80,"N"
7954,"일반야영장(33면) 자동차야영장사이트(33면) 개인카라반사이트(18면)",84,"Y"
7098,"일반야영장(26면)",26,"N"
3577,"자동차야영장사이트(18면) 카라반(3면)",21,"Y"
7613,"일반야영장(17면)",17,"Y"
3578,"일반야영장(75면) 자동차야영장사이트(36면)",111,"N"
7202,"",0,"N"
100279,"",0,"Y"
3580,"일반야영장(52면) 자동차야영장사이트(10면)",62,"N"
2696,"일반야영장(52면)",52,"N"
1125,"일반야영장(20면)",20,"Y"
3582,"일반야영장(21면)",21,"N"
7442,"일반야영장(23면) 카라반(20면)",43,"N"
7370,"",0,"N"
101464,"일반야영장(19면)",19,"Y"
3587,"일반야영장(119면)",119,"Y"
873,"",0,"N"
3588,"일반야영장(29면) 카라반(2면)",31,"N"
3589,"일반야영장(28면) 카라반(3면)",31,"N"
7235,"",0,"Y"
100280,"자동차야영장사이트(34면)",34,"Y"
8126,"카라반(3면)",3,"Y"
3597,"일반야영장(14면)",14,"N"
7814,"자동차야영장사이트(12면) 글램핑시설(5면) 카라반(2면)",19,"Y"
3598,"일반야영장(106면) 글램핑시설(37면) 카라반(2면)",145,"N"
8138,"자동차야영장사이트(25면)",25,"Y"
7236,"자동차야영장사이트(64면)",64,"Y"
3601,"글램핑시설(20면)",20,"N"
7099,"일반야영장(11면)",11,"Y"
3602,"카라반(20면)",20,"N"
123,"자동차야영장사이트(13면)",13,"N"
3605,"글램핑시설(24면)",24,"N"
3608,"일반야영장(2면)",2,"N"
