"CAMP_ID","SITE","AVAIL_SITE"
2233,48,0
2234,12,0
2235,25,0
2236,15,0
2237,15,0
2238,45,0
2239,14,0
2240,20,0
2241,13,0
2242,42,0
2243,40,0
2244,26,0
2245,10,0
2246,40,0
2247,6,0
2248,10,0
2249,40,0
2250,10,0
2251,10,0
2252,61,0
2253,11,0
2255,30,0
2256,28,0
2257,10,0
2258,27,0
2259,14,0
2260,10,0
2261,10,0
2262,14,0
2263,13,0
2264,42,0
2265,10,0
2266,27,0
2267,30,0
2268,34,0
2269,10,0
2270,10,0
2271,10,0
2272,8,0
2273,31,0
2275,13,0
2276,10,0
2277,30,0
2278,56,0
2279,101,0
2280,50,0
2282,94,0
2283,47,0
2284,28,0
2285,10,0
2286,155,0
2287,67,0
2288,170,0
2289,15,0
2290,6,0
2291,35,0
2292,14,0
2293,15,0
2294,10,0
2295,10,0
2296,36,0
2298,70,0
2299,19,0
2300,163,0
2301,12,0
2302,40,0
2303,48,0
2304,14,0
2305,40,0
2306,24,0
2308,21,0
2309,15,0
2310,200,0
2312,10,0
2313,10,0
2314,3,0
2315,19,0
2316,24,0
2317,19,0
2318,10,0
2319,10,0
2320,10,0
2321,25,0
2322,14,0
2323,10,0
2324,29,0
2325,10,0
2326,46,0
2327,16,0
2328,29,0
2329,40,0
2330,33,0
2331,25,0
2332,10,0
2334,40,0
2335,39,0
2336,30,0
2337,8,0
2338,6,0
2339,19,0
2340,20,0
2341,48,0
2342,16,0
2343,35,0
2344,36,0
2345,10,0
2346,10,0
2347,50,0
2348,12,0
2349,28,0
2350,5,0
2351,15,0
2352,24,0
2353,27,0
2354,5,0
2355,27,0
2357,10,0
2358,42,0
2359,20,0
2360,10,0
2361,18,0
2362,100,0
2363,2,0
2364,25,0
2365,15,0
2366,40,0
2367,10,0
2368,25,0
2369,9,0
2370,5,0
2371,8,0
2372,10,0
2373,50,0
2374,4,0
2375,10,0
2376,10,0
2377,72,0
2378,10,0
2379,13,0
2380,10,0
2382,10,0
2383,7,0
2384,39,0
2385,23,0
2386,100,0
2387,15,0
2388,7,0
2389,12,0
2390,14,0
2391,13,0
2392,10,0
2394,30,0
2395,80,0
2396,84,0
2397,26,0
2398,21,0
2399,17,0
2400,111,0
2401,10,0
2402,10,0
2403,62,0
2404,52,0
2405,20,0
2406,21,0
2407,43,0
2408,10,0
2409,19,0
2410,119,0
2411,10,0
2412,31,0
2413,31,0
2414,10,0
2415,34,0
2416,3,0
2417,14,0
2418,19,0
2419,145,0
2421,25,0
2422,64,0
2423,20,0
2424,11,0
2425,20,0
2426,13,0
2427,24,0
2428,2,0
2429,10,0
2430,47,0
2431,10,0
2432,10,0
